City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
1,Atuona,PF,79.07,broken clouds,-9.8,-139.0333,Villa Enata
7,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
9,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
18,Bajil,YE,78.75,broken clouds,15.0584,43.2851,فندق حضرموت
31,Ca Mau,VN,78.82,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
32,Voh,NC,81.3,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
38,Santiago De Las Vegas,CU,76.71,clear sky,22.97,-82.3869,Bella Vista Miramar
42,Rikitea,PF,79.11,clear sky,-23.1203,-134.9692,People ThankYou
45,Morondava,MG,78.84,few clouds,-20.2833,44.2833,La Case Bambou
46,Leo,BF,89.67,scattered clouds,11.1,-2.1,Hotel Sissilis
47,Mahibadhoo,MV,82.31,overcast clouds,3.7833,72.9667,Omadhoo Inn
50,Buala,SB,81.25,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
54,Si Sa Ket,TH,80.87,moderate rain,14.8333,104.3333,ร้านค้า อัญชัน
55,Touho,NC,79.2,broken clouds,-20.7833,165.2333,Auberge Timay Evasion
56,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Isangel,VU,81.66,broken clouds,-19.55,169.2667,Tanna Lodge
59,Harper,LR,80.49,overcast clouds,4.375,-7.7169,Screensaver
61,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
62,Akyab,MM,78.13,scattered clouds,20.15,92.9,Hotel Memory
65,Kapaa,US,79.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
71,Aneho,TG,83.01,broken clouds,6.2333,1.6,Hotel La Linette
72,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
74,Noumea,NC,82.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
82,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
85,Fatehpur Sikri,IN,77.23,clear sky,27.1,77.6667,Hotel Goverdhan Tourist Complex
88,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
90,Bontang,ID,75.45,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
93,Araouane,ML,84.99,scattered clouds,18.9048,-3.5265,
95,Buta,CD,80.37,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
96,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
98,Nortelandia,BR,78.62,light rain,-14.4547,-56.8028,Hotel Karysmã
102,Hambantota,LK,78.44,few clouds,6.1241,81.1185,Bungalow 63
107,Saint George,US,86.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
112,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
113,Niquelandia,BR,78.19,broken clouds,-14.4739,-48.4597,Hotel Suinã
115,Sao Desiderio,BR,77.61,broken clouds,-12.3633,-44.9733,Pousada do Luizão
118,Hobyo,SO,80.31,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
119,Tutoia,BR,78.46,light rain,-2.7619,-42.2744,Pousada Guará's
126,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
127,Antalaha,MG,75.16,few clouds,-14.9003,50.2788,Hotel Vitasoa
131,Batouri,CM,76.73,broken clouds,4.4333,14.3667,Hotel Hollywood
134,Canutama,BR,77.23,light rain,-6.5339,-64.3831,Hotel Jhennifer
135,Adrar,MR,79.27,clear sky,20.5022,-10.0711,
138,Guarapari,BR,79.9,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
139,Bull Savanna,JM,76.48,moderate rain,17.8868,-77.5902,Big Red's
140,Berbera,SO,80.17,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
142,Mazagao,BR,78.85,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
148,Vaitape,PF,82.06,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
153,Phuket,TH,88.09,few clouds,8.0,98.25,The Surin
154,Arraial Do Cabo,BR,78.66,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
163,Puerto Baquerizo Moreno,EC,83.39,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
167,Alyangula,AU,81.05,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
175,Kavaratti,IN,82.36,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
177,Sao Joao Da Barra,BR,78.08,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
181,Butaritari,KI,80.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
184,Urucara,BR,77.31,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
185,Bandarbeyla,SO,77.76,clear sky,9.4942,50.8122,JABIR HOTEL
188,Touros,BR,80.24,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
189,Lazaro Cardenas,MX,83.57,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
190,Cairns,AU,79.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
193,Kidal,ML,83.01,few clouds,18.4411,1.4078,
195,Kulhudhuffushi,MV,82.27,scattered clouds,6.6221,73.07,Haajy Guest House 1
196,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
198,Dawei,MM,75.88,broken clouds,14.0833,98.2,Hotel Dawei
202,Santiago Del Estero,AR,80.78,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
206,Bitkine,TD,78.93,clear sky,11.9801,18.2138,
208,Pemangkat,ID,75.74,broken clouds,1.1667,108.9667,Ramah Kost KITA
212,Sinnar,SD,81.16,overcast clouds,13.5691,33.5672,هجو الطاهر
214,Namatanai,PG,81.34,light rain,-3.6667,152.4333,Seagulls Inn Namatani
216,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
219,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
220,Fort Pierce,US,79.07,clear sky,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
221,The Valley,AI,77.83,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
222,Baon,PH,77.18,broken clouds,6.7956,126.0878,SILENT BEACH RESORT
223,Cabo San Lucas,MX,86.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
225,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
227,Winneba,GH,81.3,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
232,Le Port,RE,78.76,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
233,Labrea,BR,77.38,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
234,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
240,Poum,NC,81.03,scattered clouds,-20.2333,164.0167,
244,Barra Patuca,HN,79.77,broken clouds,15.8,-84.2833,
245,Basco,PH,78.3,broken clouds,20.4487,121.9702,Nathaniel's Lodge
246,Aquiraz,BR,82.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
247,Kudahuvadhoo,MV,81.23,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
248,Bucerias,MX,80.58,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
251,Libertador General San Martin,AR,80.98,clear sky,-23.8064,-64.7876,Posada del Sol
261,Gizo,SB,82.53,broken clouds,-8.103,156.8419,Imagination Island
264,Belmonte,BR,78.33,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
273,Doba,TD,80.58,clear sky,8.65,16.85,Restaurant Auberge La Pétrolière
274,Nan,TH,75.88,scattered clouds,18.8333,100.6667,สะเนียน2
275,Meulaboh,ID,76.87,overcast clouds,4.1363,96.1285,Kost Pria
276,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
281,Bara,NG,79.93,clear sky,10.3744,10.7288,
284,Keti Bandar,PK,78.1,clear sky,24.1447,67.4497,Haji laloo memon house
286,Guider,CM,83.46,scattered clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
289,Henderson,US,89.94,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
296,Nova Granada,BR,80.85,overcast clouds,-20.5339,-49.3142,Casa do maikão
304,Tahoua,NE,78.51,clear sky,14.8888,5.2692,Bungalows Guesthouse
307,Sechura,PE,81.18,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
308,Mitsamiouli,KM,82.27,overcast clouds,-11.3847,43.2844,Foyer ADM
313,Acapulco,MX,84.02,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
315,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
316,Tual,ID,79.99,moderate rain,-5.6667,132.75,Grand Vilia Hotel
321,Bossangoa,CF,77.36,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
325,Samana,DO,80.56,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
330,Nossa Senhora Das Dores,BR,75.45,overcast clouds,-10.4917,-37.1933,ANONIMATUS MOTEL
332,Hithadhoo,MV,81.75,clear sky,-0.6,73.0833,Scoop Guest House
334,Mandal,IN,78.46,clear sky,25.45,74.5667,Surpanch saab ki vatika
336,Karratha,AU,81.43,light rain,-20.7377,116.8463,ibis Styles Karratha
344,Sao Raimundo Nonato,BR,77.5,light rain,-9.0153,-42.6994,Real Hotel
345,San Patricio,US,86.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
347,Chauk,MM,79.0,scattered clouds,20.8833,94.8167,Bo Khin Guest House
354,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
355,Popondetta,PG,78.87,overcast clouds,-8.7537,148.2534,Timos Transit House
356,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
357,Ugoofaaru,MV,82.6,broken clouds,5.6667,73.0,Ungoofaaru Inn
363,San Cosme Y Damian,PY,78.98,clear sky,-27.3167,-56.35,Posada Turística Aguapey
368,Daru,PG,77.38,overcast clouds,-9.0763,143.2092,Daru Lodge
369,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
375,Nha Trang,VN,75.2,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
379,Manaure,CO,86.11,broken clouds,11.7751,-72.4445,Hotel Palaaima
384,Myanaung,MM,80.15,scattered clouds,18.2833,95.3167,Aung Thu Guest House
388,Palmerston,AU,78.78,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
391,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
393,Vanimo,PG,79.77,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
395,Lorengau,PG,82.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
399,Tautira,PF,81.37,light rain,-17.7333,-149.15,Pension Oaoa
401,Trat,TH,82.9,overcast clouds,12.5,102.5,สวนหนิง-อัศ
404,San Lazaro,BZ,82.89,overcast clouds,18.0387,-88.6622,
405,Dhidhdhoo,MV,82.29,few clouds,6.8833,73.1,Dhidhoo beach
407,Fort Walton Beach,US,78.67,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
409,Pinar Del Rio,CU,82.45,clear sky,22.4175,-83.6981,Hostal La Colina Dunay y Raul
417,Faanui,PF,82.06,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
420,Vao,NC,76.59,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
424,Bawal,IN,76.51,clear sky,28.0833,76.5833,Hotel Green Orch
432,Kavieng,PG,82.98,broken clouds,-2.5744,150.7967,Nusa Island Retreat
435,Tevaitoa,PF,81.91,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
436,Am Timan,TD,81.52,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
442,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
450,Manamadurai,IN,80.69,few clouds,9.7,78.4833,MRS Lodge
458,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
459,Jacqueville,CI,81.46,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
465,Jati,PK,77.59,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
469,Axim,GH,80.76,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
471,Hatillo,PR,83.32,broken clouds,18.4863,-66.8254,El Buen Hotel
472,Gallup,US,75.04,clear sky,35.5281,-108.7426,El Capitan Motel
477,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
479,Atar,MR,76.64,overcast clouds,20.5169,-13.0499,Oumou Elghoura
481,Kathu,TH,86.7,clear sky,7.9178,98.3332,Novotel Phuket Resort
482,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
487,Coari,BR,77.74,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
490,Gusau,NG,80.67,broken clouds,12.1628,6.6614,GUEST INN
491,Itamaraca,BR,82.45,light rain,-7.7478,-34.8256,Special K's Bed & Breakfast
492,Katy,US,85.06,clear sky,29.7858,-95.8244,Hilton Garden Inn Houston West Katy
495,Sinnamary,GF,77.74,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
499,Dingle,PH,75.72,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
501,Manaus,BR,82.9,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
502,Pasni,PK,77.32,clear sky,25.2631,63.471,Kashmiri Hotal
504,Kanniyakumari,IN,80.24,clear sky,8.0833,77.5667,Sparsa Kanyakumari
507,Acarau,BR,78.49,overcast clouds,-2.8856,-40.12,castelo pizzaria
511,Bodden Town,KY,80.6,scattered clouds,19.2833,-81.25,Will T Place
512,Cururupu,BR,75.15,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
517,Prado,BR,77.25,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
522,Caborca,MX,86.41,broken clouds,30.5838,-111.101,Hotel Los Lagos
525,Dabola,GN,81.88,light rain,10.75,-11.1167,Hotel Tinkisso
528,Zahirabad,IN,82.45,few clouds,17.6833,77.6167,PREETHAM WORKING WOMENS HOSTEL
529,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
535,Lae,PG,77.67,overcast clouds,-6.7221,146.9847,Phils Hotel
536,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
541,Maraa,BR,76.28,overcast clouds,-1.8333,-65.3667,
547,Sambava,MG,76.55,light rain,-14.2667,50.1667,Melrose
551,Xuddur,SO,79.77,scattered clouds,4.1213,43.8894,Banjanay Hotel
552,Kalmunai,LK,78.48,few clouds,7.4167,81.8167,VS Villa
553,Paracatu,BR,75.7,broken clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
555,Chilpancingo,MX,86.99,scattered clouds,17.55,-99.5,Relámpago Cartuchos Deportivos de Guerrero S.A. de C.V.
558,Dori,BF,86.59,broken clouds,14.0354,-0.0345,Hôtel Liptako
562,Tucurui,BR,76.08,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
563,Santiago,CL,80.04,clear sky,-33.4569,-70.6483,Hotel Panamericano
568,Tessalit,ML,83.03,few clouds,20.1986,1.0114,
571,Houma,US,78.03,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
575,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
577,Luwuk,ID,77.02,light rain,-0.9516,122.7875,Hotel Santika Luwuk
581,Goundam,ML,87.51,broken clouds,16.4145,-3.6708,
589,Trairi,BR,77.11,overcast clouds,-3.2778,-39.2689,janelas do mar
596,Saint-Georges,GD,77.63,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
597,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
599,Srandakan,ID,76.59,overcast clouds,-7.9386,110.2506,Puri Brata
606,Upata,VE,80.55,overcast clouds,8.0086,-62.3989,Posada Villa Nela
611,Puerto Maldonado,PE,82.8,few clouds,-12.6,-69.1833,Wasai Hotel
613,Impfondo,CG,76.98,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
614,Arlit,NE,76.86,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
615,Papar,MY,77.0,overcast clouds,5.7333,115.9333,Koposizon Homestay
617,San Policarpo,PH,79.88,overcast clouds,12.1791,125.5072,Agapita M. Nicart
619,Boyolangu,ID,75.11,overcast clouds,-8.1181,111.8935,Yos ega cv
625,Fort Abbas,PK,82.53,clear sky,29.1925,72.8536,AsAd's House
628,Sarangani,PH,81.43,broken clouds,5.4033,125.4636,Ballistic Islet
632,Lhokseumawe,ID,78.24,clear sky,5.1801,97.1507,OYO 3278 Penginapan Alfajri
633,Sur,OM,78.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
637,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
643,Kyaiklat,MM,77.81,scattered clouds,16.4333,95.7333,Ayar San Girls Hostel
648,Puerto Palomas,MX,83.23,overcast clouds,31.7667,-107.6167,Hotel San Carlos
655,Idenao,CM,79.83,broken clouds,4.2475,9.0047,Moland Beach Resort
659,Ardmore,US,84.85,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
663,Bhag,PK,85.24,clear sky,29.0415,67.8239,Bukhari hotl
665,Kieta,PG,83.55,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
673,Tomatlan,MX,86.56,few clouds,19.9333,-105.25,El Salvial
